Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Acinetobacter spp.

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Acinetobacter spp.","Amikacin","LTU","Lithuania","European Region",81,68,83.950617284
"Bloodstream","Acinetobacter spp.","Colistin","LTU","Lithuania","European Region",41,9,21.951219512
"Bloodstream","Acinetobacter spp.","Gentamicin","LTU","Lithuania","European Region",120,99,82.5
"Bloodstream","Acinetobacter spp.","Imipenem","LTU","Lithuania","European Region",55,47,85.454545455
"Bloodstream","Acinetobacter spp.","Meropenem","LTU","Lithuania","European Region",67,66,98.507462687
"Bloodstream","Acinetobacter spp.","Amikacin","LVA","Latvia","European Region",55,31,56.363636364
"Bloodstream","Acinetobacter spp.","Gentamicin","LVA","Latvia","European Region",55,16,29.090909091
"Bloodstream","Acinetobacter spp.","Imipenem","LVA","Latvia","European Region",55,37,67.272727273
"Bloodstream","Acinetobacter spp.","Amikacin","MAR","Morocco","Eastern Mediterranean Region",268,217,80.970149254
"Bloodstream","Acinetobacter spp.","Gentamicin","MAR","Morocco","Eastern Mediterranean Region",267,238,89.138576779
"Bloodstream","Acinetobacter spp.","Imipenem","MAR","Morocco","Eastern Mediterranean Region",268,243,90.671641791
"Bloodstream","Acinetobacter spp.","Meropenem","MAR","Morocco","Eastern Mediterranean Region",159,157,98.742138365
"Bloodstream","Acinetobacter spp.","Tigecycline","MAR","Morocco","Eastern Mediterranean Region",89,79,88.764044944
"Bloodstream","Acinetobacter spp.","Amikacin","MDA","Republic of Moldova","European Region",62,53,85.483870968
"Bloodstream","Acinetobacter spp.","Colistin","MDA","Republic of Moldova","European Region",25,1,4
"Bloodstream","Acinetobacter spp.","Gentamicin","MDA","Republic of Moldova","European Region",61,40,65.573770492
